state,district,month,enrolment_total,biometric_total,demographic_total,Total_Upload
Andhra Pradesh,Tirupati,2025-06,268,4769,2735,7772
Andhra Pradesh,Tirupati,2025-09,617,2737,3179,6533
Andhra Pradesh,Tirupati,2025-10,224,3107,2521,5852
Andhra Pradesh,Tirupati,2025-11,511,3446,5800,9757
Andhra Pradesh,Tirupati,2025-12,364,2881,7226,10471
Andhra Pradesh,Tirupati,2026-01,51,114,335,500
